2025-05-13 16:42:37,738 - INFO - Main device: cuda:3
2025-05-13 16:42:37,739 - INFO - Loaded ViT-L-14 model config.
2025-05-13 16:43:57,186 - INFO - Epoch 1/20000 [49.41s], Training: [2.9799 (Focal: 1.9806, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [3.0872 (Focal: 2.0883, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000010
2025-05-13 16:43:59,068 - INFO - 保存最佳模型 (mIoU: 0.0141)
2025-05-13 16:45:12,133 - INFO - Epoch 2/20000 [48.10s], Training: [2.9988 (Focal: 1.9995, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [3.0307 (Focal: 2.0317, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000010
2025-05-13 16:45:24,854 - INFO - 保存最佳模型 (mIoU: 0.0141)
2025-05-13 16:46:38,022 - INFO - Epoch 3/20000 [47.68s], Training: [2.9944 (Focal: 1.9951, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [3.0114 (Focal: 2.0125, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0811, mIoU = 0.0142], LR: 0.000010
2025-05-13 16:46:50,640 - INFO - 保存最佳模型 (mIoU: 0.0142)
2025-05-13 16:48:02,928 - INFO - Epoch 4/20000 [47.49s], Training: [2.9914 (Focal: 1.9921, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9916 (Focal: 1.9926, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000010
2025-05-13 16:49:15,700 - INFO - Epoch 5/20000 [47.64s], Training: [2.9845 (Focal: 1.9852, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9548 (Focal: 1.9559, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000010
2025-05-13 16:50:29,343 - INFO - Epoch 6/20000 [48.11s], Training: [2.9647 (Focal: 1.9655, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9496 (Focal: 1.9507, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0811, mIoU = 0.0142], LR: 0.000010
2025-05-13 16:50:41,932 - INFO - 保存最佳模型 (mIoU: 0.0142)
2025-05-13 16:51:55,099 - INFO - Epoch 7/20000 [48.09s], Training: [2.9581 (Focal: 1.9589, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9884 (Focal: 1.9895, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000010
2025-05-13 16:53:07,270 - INFO - Epoch 8/20000 [47.21s], Training: [2.9693 (Focal: 1.9701, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9712 (Focal: 1.9723, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0817, mIoU = 0.0176], LR: 0.000010
2025-05-13 16:53:19,977 - INFO - 保存最佳模型 (mIoU: 0.0176)
2025-05-13 16:54:32,071 - INFO - Epoch 9/20000 [47.19s], Training: [2.9507 (Focal: 1.9514, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9712 (Focal: 1.9722, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0809, mIoU = 0.0192], LR: 0.000010
2025-05-13 16:54:45,292 - INFO - 保存最佳模型 (mIoU: 0.0192)
2025-05-13 16:55:58,396 - INFO - Epoch 10/20000 [47.96s], Training: [2.9790 (Focal: 1.9797, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9371 (Focal: 1.9382, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0787, mIoU = 0.0219], LR: 0.000010
2025-05-13 16:56:10,928 - INFO - 保存最佳模型 (mIoU: 0.0219)
2025-05-13 16:57:24,342 - INFO - Epoch 11/20000 [48.13s], Training: [2.9589 (Focal: 1.9597, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9001 (Focal: 1.9011, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.2270, mIoU = 0.0410], LR: 0.000010
2025-05-13 16:57:37,173 - INFO - 保存最佳模型 (mIoU: 0.0410)
2025-05-13 16:58:49,755 - INFO - Epoch 12/20000 [47.72s], Training: [2.9649 (Focal: 1.9657, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9263 (Focal: 1.9274, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0792, mIoU = 0.0219], LR: 0.000010
2025-05-13 17:00:03,436 - INFO - Epoch 13/20000 [48.40s], Training: [2.9548 (Focal: 1.9556, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9239 (Focal: 1.9250, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0798, mIoU = 0.0218], LR: 0.000010
2025-05-13 17:01:17,111 - INFO - Epoch 14/20000 [48.24s], Training: [2.9606 (Focal: 1.9614, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9091 (Focal: 1.9101, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.2269, mIoU = 0.0410], LR: 0.000010
2025-05-13 17:02:30,136 - INFO - Epoch 15/20000 [47.92s], Training: [2.9550 (Focal: 1.9558, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9046 (Focal: 1.9057, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.2270, mIoU = 0.0410], LR: 0.000010
2025-05-13 17:03:43,486 - INFO - Epoch 16/20000 [48.31s], Training: [2.9576 (Focal: 1.9584, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9231 (Focal: 1.9242, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0790, mIoU = 0.0220], LR: 0.000010
2025-05-13 17:04:56,360 - INFO - Epoch 17/20000 [47.70s], Training: [2.9487 (Focal: 1.9495, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9504 (Focal: 1.9515, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0829, mIoU = 0.0173], LR: 0.000010
2025-05-13 17:06:09,313 - INFO - Epoch 18/20000 [48.01s], Training: [2.9577 (Focal: 1.9584, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9462 (Focal: 1.9473, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0809, mIoU = 0.0201], LR: 0.000010
2025-05-13 17:07:22,098 - INFO - Epoch 19/20000 [47.87s], Training: [2.9403 (Focal: 1.9411, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [3.0220 (Focal: 2.0230, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000010
2025-05-13 17:08:35,365 - INFO - Epoch 20/20000 [48.08s], Training: [2.9830 (Focal: 1.9837, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9767 (Focal: 1.9778, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000010
2025-05-13 17:09:47,909 - INFO - Epoch 21/20000 [47.61s], Training: [2.9455 (Focal: 1.9463, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9887 (Focal: 1.9898, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000010
2025-05-13 17:11:00,303 - INFO - Epoch 22/20000 [47.53s], Training: [2.9751 (Focal: 1.9759, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9628 (Focal: 1.9639, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0814, mIoU = 0.0184], LR: 0.000010
2025-05-13 17:12:13,995 - INFO - Epoch 23/20000 [48.44s], Training: [2.9629 (Focal: 1.9637, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9557 (Focal: 1.9568, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0813, mIoU = 0.0188], LR: 0.000010
2025-05-13 17:13:26,769 - INFO - Epoch 24/20000 [47.48s], Training: [2.9427 (Focal: 1.9435, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9617 (Focal: 1.9627, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0813, mIoU = 0.0186], LR: 0.000010
2025-05-13 17:14:40,267 - INFO - Epoch 25/20000 [48.40s], Training: [2.9580 (Focal: 1.9587, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9722 (Focal: 1.9733, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0142], LR: 0.000010
2025-05-13 17:15:53,010 - INFO - Epoch 26/20000 [47.58s], Training: [2.9695 (Focal: 1.9703, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9460 (Focal: 1.9471, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0802, mIoU = 0.0207], LR: 0.000010
2025-05-13 17:17:05,523 - INFO - Epoch 27/20000 [47.46s], Training: [2.9351 (Focal: 1.9359, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9573 (Focal: 1.9584, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0816, mIoU = 0.0159], LR: 0.000010
2025-05-13 17:18:18,646 - INFO - Epoch 28/20000 [47.98s], Training: [2.9873 (Focal: 1.9880, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9494 (Focal: 1.9505, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000010
2025-05-13 17:19:31,622 - INFO - Epoch 29/20000 [47.62s], Training: [2.9522 (Focal: 1.9529, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9380 (Focal: 1.9391, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000010
2025-05-13 17:20:45,089 - INFO - Epoch 30/20000 [48.33s], Training: [2.9692 (Focal: 1.9699, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9280 (Focal: 1.9291, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0819, mIoU = 0.0170], LR: 0.000010
2025-05-13 17:21:50,856 - INFO - Epoch 31/20000 [47.73s], Training: [2.9588 (Focal: 1.9596, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9141 (Focal: 1.9152, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0545, mIoU = 0.0341], LR: 0.000010
2025-05-13 17:23:00,284 - INFO - Epoch 32/20000 [47.60s], Training: [2.9570 (Focal: 1.9577, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.8977 (Focal: 1.8988, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.2249, mIoU = 0.0557], LR: 0.000009
2025-05-13 17:23:12,909 - INFO - 保存最佳模型 (mIoU: 0.0557)
2025-05-13 17:24:23,235 - INFO - Epoch 33/20000 [47.90s], Training: [2.9474 (Focal: 1.9482, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.8933 (Focal: 1.8944, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.2254, mIoU = 0.0543], LR: 0.000009
2025-05-13 17:25:33,134 - INFO - Epoch 34/20000 [47.61s], Training: [2.9666 (Focal: 1.9673, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9068 (Focal: 1.9079, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.2281, mIoU = 0.0515], LR: 0.000009
2025-05-13 17:26:44,111 - INFO - Epoch 35/20000 [48.39s], Training: [2.9560 (Focal: 1.9568, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9042 (Focal: 1.9053, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.2259, mIoU = 0.0525], LR: 0.000009
2025-05-13 17:27:53,527 - INFO - Epoch 36/20000 [47.21s], Training: [2.9530 (Focal: 1.9537, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9002 (Focal: 1.9013, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.2252, mIoU = 0.0532], LR: 0.000009
2025-05-13 17:29:02,602 - INFO - Epoch 37/20000 [47.23s], Training: [2.9495 (Focal: 1.9502, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.8958 (Focal: 1.8968, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.2182, mIoU = 0.0547], LR: 0.000009
2025-05-13 17:30:09,811 - INFO - Epoch 38/20000 [47.84s], Training: [2.9614 (Focal: 1.9622, Dice: 0.9992, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9019 (Focal: 1.9029, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.1053, mIoU = 0.0432], LR: 0.000009
2025-05-13 17:31:22,196 - INFO - Epoch 39/20000 [47.50s], Training: [2.9593 (Focal: 1.9600, Dice: 0.9993, AuxFocal: 0.0000, AuxDice: 0.0000)], Validation: [2.9192 (Focal: 1.9203, Dice: 0.9989, AuxFocal: 0.0000, AuxDice: 0.0000), Acc = 0.0810, mIoU = 0.0141], LR: 0.000009
