filename,top_3_labels
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_25600_26624.png,"[('Industrial', 0.5), ('Farmland', 0.15), ('Mountain', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_7168_8192.png,"[('Forest', 0.25), ('Port', 0.25), ('Beach', 0.2)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_28672_29696.png,"[('Residential', 0.25), ('River', 0.2), ('Pond', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_10240_11264.png,"[('Forest', 0.2), ('Pond', 0.2), ('Beach', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_18432_19456.png,"[('Bridge', 0.5), ('Port', 0.4), ('Beach', 0.05)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_3072_4096.png,"[('Forest', 0.65), ('Mountain', 0.35), ('Airport', 0.0)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_3072_4096.png,"[('Forest', 0.5), ('Beach', 0.35), ('Mountain', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_3072_4096.png,"[('Forest', 0.6), ('Mountain', 0.3), ('Meadow', 0.05)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_32768_33792.png,"[('Industrial', 0.8), ('Commercial', 0.2), ('Airport', 0.0)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_31744_32768.png,"[('Desert', 0.45), ('Pond', 0.15), ('Beach', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_29696_30720.png,"[('River', 0.3), ('Bridge', 0.15), ('Commercial', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_12288_13312.png,"[('Commercial', 0.3), ('railwayStation', 0.3), ('Industrial', 0.2)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_28672_29696.png,"[('Pond', 0.3), ('Park', 0.25), ('River', 0.25)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_16384_17408.png,"[('Bridge', 0.9), ('River', 0.1), ('Airport', 0.0)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_27648_28672.png,"[('Industrial', 0.35), ('Residential', 0.2), ('Park', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_9216_10240.png,"[('Commercial', 0.45), ('Industrial', 0.3), ('Forest', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_12288_13312.png,"[('Commercial', 0.3), ('railwayStation', 0.25), ('Park', 0.2)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_20480_21504.png,"[('Port', 0.35), ('Park', 0.15), ('Pond', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_22528_23552.png,"[('Park', 0.35), ('Commercial', 0.3), ('Industrial', 0.2)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_32768_33792.png,"[('Beach', 0.55), ('Desert', 0.4), ('Meadow', 0.05)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_8192_9216.png,"[('Park', 0.45), ('Commercial', 0.3), ('footballField', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_5120_6144.png,"[('Mountain', 0.5), ('Forest', 0.3), ('Beach', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_21504_22528.png,"[('Beach', 0.75), ('Forest', 0.1), ('Meadow', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_21504_22528.png,"[('Commercial', 0.65), ('Industrial', 0.15), ('Forest', 0.05)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_19456_20480.png,"[('Commercial', 0.7), ('Park', 0.2), ('Industrial', 0.05)]"
