filename,top_labels,top_scores
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_25600_26624.png,"[8, 1, 16]",[-0.6900728  -0.9138402  -1.18952831]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_7168_8192.png,"[8, 1, 16]",[-0.64698757 -0.96367201 -1.15746155]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_28672_29696.png,"[8, 1, 16]",[-0.70249432 -0.95476536 -1.19742631]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_10240_11264.png,"[8, 1, 16]",[-0.64015023 -0.97901612 -1.18613384]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_18432_19456.png,"[8, 1, 16]",[-0.64054224 -0.99060247 -1.16535815]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_3072_4096.png,"[8, 1, 16]",[-0.67916523 -0.99204854 -1.1280326 ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_3072_4096.png,"[8, 1, 16]",[-0.67345375 -0.99034909 -1.1485047 ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_3072_4096.png,"[8, 1, 16]",[-0.68914243 -0.99135113 -1.14184387]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_32768_33792.png,"[8, 1, 16]",[-0.69165314 -0.96360799 -1.19299585]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_31744_32768.png,"[8, 1, 16]",[-0.66226497 -0.9474295  -1.20122894]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_29696_30720.png,"[8, 1, 16]",[-0.66988754 -0.94165602 -1.1825853 ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_12288_13312.png,"[8, 1, 12]",[-0.6926411  -0.94987081 -1.17978001]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_28672_29696.png,"[8, 1, 12]",[-0.66424165 -0.96425029 -1.16917866]
