filename,top_labels,top_scores
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_25600_26624.png,"[8, 1, 16]",[-0.69006506 -0.91383086 -1.18952003]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_7168_8192.png,"[8, 1, 16]",[-0.64698417 -0.96366858 -1.15745651]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_28672_29696.png,"[8, 1, 16]",[-0.70248427 -0.95476649 -1.19742047]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_10240_11264.png,"[8, 1, 16]",[-0.64014848 -0.97900528 -1.18612177]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_18432_19456.png,"[8, 1, 16]",[-0.64053411 -0.9905969  -1.16534312]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_3072_4096.png,"[8, 1, 16]",[-0.67915698 -0.99203476 -1.12802051]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_3072_4096.png,"[8, 1, 16]",[-0.67344637 -0.99033735 -1.14849499]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_3072_4096.png,"[8, 1, 16]",[-0.68913669 -0.99134027 -1.14182797]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_32768_33792.png,"[8, 1, 16]",[-0.6916506  -0.96360059 -1.19298542]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_31744_32768.png,"[8, 1, 16]",[-0.66225441 -0.94742361 -1.20122099]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_29696_30720.png,"[8, 1, 16]",[-0.66987734 -0.94164579 -1.1825808 ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_12288_13312.png,"[8, 1, 12]",[-0.69263319 -0.94986127 -1.17986459]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_28672_29696.png,"[8, 1, 12]",[-0.66423085 -0.96424048 -1.169268  ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_16384_17408.png,"[8, 1, 16]",[-0.65716209 -0.94782955 -1.17814878]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_27648_28672.png,"[8, 1, 12]",[-0.68741404 -0.92356262 -1.18813612]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_9216_10240.png,"[8, 1, 16]",[-0.70541358 -0.98555444 -1.18505174]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_12288_13312.png,"[8, 1, 12]",[-0.67340209 -0.98457422 -1.16217709]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_20480_21504.png,"[8, 1, 16]",[-0.68383449 -0.97389567 -1.19313113]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_22528_23552.png,"[8, 1, 12]",[-0.69099647 -0.96090899 -1.181966  ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_32768_33792.png,"[8, 1, 16]",[-0.67932277 -0.96086872 -1.2028807 ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_8192_9216.png,"[8, 1, 12]",[-0.68733054 -0.99687184 -1.18073531]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_5120_6144.png,"[8, 1, 16]",[-0.71220438 -0.96807167 -1.16340298]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_21504_22528.png,"[8, 1, 16]",[-0.68253992 -0.953342   -1.20718568]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_21504_22528.png,"[8, 1, 12]",[-0.72086998 -0.9968469  -1.19089359]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_19456_20480.png,"[8, 1, 12]",[-0.69724769 -0.97022777 -1.19501842]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_17408_18432.png,"[8, 1, 16]",[-0.6742964  -0.96520746 -1.18321789]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_24576_25600.png,"[8, 1, 16]",[-0.69864237 -0.88094832 -1.17926   ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_17408_18432.png,"[8, 1, 16]",[-0.64095899 -0.94740981 -1.19056442]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_22528_23552.png,"[8, 1, 16]",[-0.68887557 -0.95098676 -1.18151376]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_21504_22528.png,"[8, 1, 12]",[-0.70230321 -0.91771254 -1.18914033]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_28672_29696.png,"[8, 1, 16]",[-0.64821458 -0.9038514  -1.19048847]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_8192_9216.png,"[8, 1, 16]",[-0.66389478 -1.00305919 -1.14609076]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_19456_20480.png,"[8, 1, 16]",[-0.63968559 -1.00481351 -1.17280708]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_29696_30720.png,"[8, 1, 12]",[-0.68472004 -0.95249631 -1.2045958 ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_13312_14336.png,"[8, 1, 16]",[-0.6932645  -0.99086026 -1.19685137]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_14336_15360.png,"[8, 1, 12]",[-0.67479232 -0.9274779  -1.17341943]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_31744_32768.png,"[8, 1, 16]",[-0.69453335 -0.94093715 -1.18982788]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_25600_26624.png,"[8, 1, 16]",[-0.69330903 -0.88298245 -1.18014651]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_12288_13312.png,"[8, 1, 16]",[-0.68756455 -0.94275252 -1.18893172]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_30720_31744.png,"[8, 1, 12]",[-0.70494025 -0.92839115 -1.21060903]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_27648_28672.png,"[8, 1, 12]",[-0.69657347 -0.95395341 -1.19485828]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_24576_25600.png,"[8, 1, 12]",[-0.70083377 -0.91807495 -1.18661427]
